年份,月份,进出口,商品编码,商品描述,企业名称,出口最终国或进口原产国,收发货地,报关口岸,贸易方式,运输方式,航次,数量,金额,商品分类
2006,12,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司4,哥伦比亚,武清县,深圳海关,一般贸易,公路运输,1,18400,2350062,10
2006,1,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司4,尼日尔,武汉东湖新技术开发区,拱北海关,一般贸易,公路运输,1,1415,200764,10
2008,2,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司7,澳大利亚,河北其他,深圳海关,一般贸易,公路运输,1,160,20638,10
2007,3,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司21,印度尼西亚,北京其他,深圳海关,一般贸易,铁路运输,1,155,20650,10
2010,4,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司22,新加坡,上海其他,深圳海关,一般贸易,公路运输,1,1359,210645,10
2006,5,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司23,沙特阿拉伯,黄浦,拱北海关,一般贸易,公路运输,1,140,21700,10
2007,6,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司16,巴西,烟台其他,深圳海关,一般贸易,公路运输,1,160,21776,10
2007,7,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司8,哥伦比亚,即墨,深圳海关,一般贸易,公路运输,1,157,21980,10
2011,8,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司19,澳大利亚,上海浦东新区,深圳海关,一般贸易,公路运输,1,1150,220929,10
2012,9,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司24,印度尼西亚,江苏其他,拱北海关,一般贸易,公路运输,1,595,83300,10
2008,10,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司25,阿曼,南通其他,深圳海关,一般贸易,公路运输,1,720,86400,10
2012,11,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司4,印度尼西亚,河北其他,拱北海关,一般贸易,公路运输,1,628,89120,10
2011,12,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司21,美国,南通其他,深圳海关,一般贸易,公路运输,1,6800,911200,10
2011,1,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司26,沙特阿拉伯,宝鸡其他,拱北海关,一般贸易,公路运输,1,594,91550,10
2007,2,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司13,俄罗斯,即墨,深圳海关,一般贸易,公路运输,1,50,9676,10
2011,3,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司28,约旦,西安新技术产业开发区,拱北海关,一般贸易,公路运输,1,648,97200,10
2012,4,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司27,科威特,成都其他,拱北海关,一般贸易,公路运输,1,70,9800,10
2008,5,出口,1042090,非改良种用山羊,进出口公司29,阿联酋,牡丹江,拱北海关,一般贸易,公路运输,2,83,1606,10
2007,6,出口,1042090,非改良种用山羊,进出口公司30,泰国,南通其他,拱北海关,一般贸易,公路运输,2,94,1819,10
2007,7,出口,1042090,非改良种用山羊,进出口公司31,美国,东莞,拱北海关,一般贸易,公路运输,2,100,1935,10
2009,8,出口,1042090,非改良种用山羊,进出口公司20,土耳其,中关村国家自主创新示范区（昌平园）,深圳海关,一般贸易,公路运输,3,770,24834,10
2007,9,出口,1042090,非改良种用山羊,进出口公司20,沙特阿拉伯,四川其他,深圳海关,一般贸易,公路运输,3,110,3547,10
2010,10,出口,1051190,不超过185克的其他鸡（改良种用的除外）,进出口公司32,伊朗,成都高新技术产业开发区,深圳海关,一般贸易,公路运输,1,60500,15605,10
2012,11,出口,1051190,不超过185克的其他鸡（改良种用的除外）,进出口公司33,俄罗斯,成都其他,深圳海关,一般贸易,公路运输,1,128956,38687,10
2008,12,出口,1051190,不超过185克的其他鸡（改良种用的除外）,进出口公司34,德国,牡丹江,深圳海关,一般贸易,公路运输,1,437657,56450,10
2006,1,出口,1051190,不超过185克的其他鸡（改良种用的除外）,进出口公司35,美国,苏州其他,深圳海关,一般贸易,公路运输,1,23000,8902,10
2007,2,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司36,西班牙,天津其他,深圳海关,一般贸易,公路运输,3,5200,10400,10
2007,3,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司32,乌干达,濮阳,深圳海关,一般贸易,公路运输,3,45200,104930,10
2006,4,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司37,挪威,上海青浦出口加工区,拱北海关,一般贸易,公路运输,3,4200,10500,10
2008,5,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司38,阿曼,盐城,拱北海关,一般贸易,公路运输,3,44790,111975,10
2012,6,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司26,哈萨克斯坦,东营,拱北海关,一般贸易,公路运输,4,35950,125600,10
2008,7,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司39,印度尼西亚,荆州,深圳海关,一般贸易,公路运输,3,5400,13500,10
2006,8,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司40,美国,常熟,深圳海关,一般贸易,公路运输,3,5400,13500,10
2009,9,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司41,阿联酋,重庆高新技术产业开发区,深圳海关,一般贸易,公路运输,3,6900,13800,10
2009,10,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司42,土耳其,东营,深圳海关,一般贸易,公路运输,3,5100,14475,10
2012,11,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司43,美国,德州,深圳海关,一般贸易,公路运输,4,4600,14836,10
2012,12,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司20,荷兰,宝鸡其他,深圳海关,一般贸易,公路运输,3,6400,14858,10
2009,1,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司44,约旦,西安新技术产业开发区,拱北海关,一般贸易,公路运输,3,59640,149100,10
2012,2,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司45,新加坡,衡水,拱北海关,一般贸易,公路运输,4,5000,15000,10
2008,3,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司22,美国,丰台区,深圳海关,一般贸易,公路运输,4,5400,16200,10
2006,4,出口,1059290,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡：,进出口公司46,科威特,陕西其他,深圳海关,一般贸易,公路运输,3,6700,16750,10
2012,5,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司47,沙特阿拉伯,兰州其他,拱北海关,一般贸易,公路运输,1,140,22400,10
2009,6,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司48,美国,武汉东湖新技术开发区,深圳海关,一般贸易,公路运输,1,1520,228000,10
2012,7,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司37,埃及,河北其他,拱北海关,一般贸易,公路运输,1,175,24500,10
2008,8,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司49,印度,上海浦东新区,深圳海关,一般贸易,公路运输,1,1799,246463,10
2007,9,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司50,尼日利亚,沧州,拱北海关,一般贸易,公路运输,1,175,26250,10
2007,10,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司51,印度尼西亚,烟台其他,深圳海关,一般贸易,公路运输,1,2132,298480,10
2012,11,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司52,美国,天津其他,拱北海关,一般贸易,公路运输,1,211,30020,10
2009,12,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司53,古巴,朝阳区,深圳海关,一般贸易,公路运输,1,240,31210,10
2009,1,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司54,特立尼达和多巴哥,濮阳,深圳海关,一般贸易,公路运输,1,2000,328360,10
2008,2,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司55,苏丹,朝阳区,深圳海关,一般贸易,公路运输,1,2746,329520,10
2009,3,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司56,伊拉克,上海浦东新区,深圳海关,一般贸易,公路运输,1,2400,335592,10
2011,4,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司57,巴基斯坦,陕西其他,拱北海关,一般贸易,公路运输,1,245,36750,10
2009,5,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司58,俄罗斯,上海青浦出口加工区,深圳海关,一般贸易,公路运输,9,418,37750,10
2006,6,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司59,新加坡,上海浦东新区,深圳海关,一般贸易,公路运输,1,2800,379169,10
2010,7,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司60,泰国,上海其他,深圳海关,一般贸易,公路运输,1,3080,381335,10
2006,8,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司9,法国,临汾,深圳海关,一般贸易,公路运输,1,280,39200,10
2009,9,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司10,澳大利亚,郑州高新技术开发区,拱北海关,一般贸易,公路运输,1,278,41700,10
2006,10,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司11,阿联酋,朝阳区,拱北海关,一般贸易,公路运输,1,315,44100,10
2010,11,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司16,新加坡,山东其他,深圳海关,一般贸易,公路运输,1,360,48995,10
2011,12,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司3,乍得,武汉东湖新技术开发区,深圳海关,一般贸易,公路运输,1,3835,506053,10
2006,1,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司4,乌兹别克斯坦,武清县,拱北海关,一般贸易,公路运输,1,314,52248,10
2011,2,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司48,新加坡,即墨,拱北海关,一般贸易,公路运输,1,350,52500,10
2010,3,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司21,阿曼,北京经济技术开发区,深圳海关,一般贸易,公路运输,1,3935,527290,10
2012,4,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司49,新加坡,盐城,深圳海关,一般贸易,铁路运输,1,396,54252,10
2008,5,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司16,新加坡,河北其他,深圳海关,一般贸易,公路运输,1,400,54438,10
2011,6,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司2,阿曼,东营,拱北海关,一般贸易,公路运输,1,385,57750,10
2008,7,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司1,苏丹,盐城,拱北海关,一般贸易,公路运输,1,385,57750,10
2011,8,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司2,新加坡,牡丹江,深圳海关,一般贸易,公路运输,1,4939,611501,10
2007,9,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司40,阿联酋,无锡高新技术产业开发区,拱北海关,一般贸易,公路运输,1,454,63560,10
2011,10,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司22,肯尼亚,保定其他,拱北海关,一般贸易,公路运输,1,420,65100,10
2006,11,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司26,美国,西安其他,深圳海关,一般贸易,公路运输,1,480,72000,10
2006,12,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司38,美国,中关村国家自主创新示范区（昌平园）,拱北海关,一般贸易,公路运输,1,525,73500,10
2011,1,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司44,澳大利亚,上海浦东新区,拱北海关,一般贸易,公路运输,1,559,78260,10
2008,2,出口,1029000,其他牛,进出口公司23,新加坡,牡丹江,拱北海关,一般贸易,公路运输,5,20,11000,10
2006,3,出口,1029000,其他牛,进出口公司24,印度,即墨,深圳海关,一般贸易,公路运输,9,115,111263,10
2007,4,出口,1029000,其他牛,进出口公司6,新加坡,苏州其他,拱北海关,一般贸易,公路运输,4,30,12000,10
2007,5,出口,1029000,其他牛,进出口公司47,澳大利亚,德州,拱北海关,一般贸易,公路运输,4,30,12000,10
2012,6,出口,1029000,其他牛,进出口公司48,匈牙利,青岛其他,深圳海关,一般贸易,公路运输,5,21,12191,10
2012,7,出口,1029000,其他牛,进出口公司49,德国,青岛其他,深圳海关,一般贸易,公路运输,5,219,127100,10
2010,8,出口,1029000,其他牛,进出口公司77,美国,成都其他,深圳海关,一般贸易,公路运输,6,202,130305,10
2010,9,出口,1029000,其他牛,进出口公司20,卡塔尔,朝阳区,深圳海关,一般贸易,公路运输,6,200,134644,10
2010,10,出口,1029000,其他牛,进出口公司78,土耳其,南通其他,深圳海关,一般贸易,公路运输,6,20,13676,10
2009,11,出口,1029000,其他牛,进出口公司79,俄罗斯,长沙其他,深圳海关,一般贸易,公路运输,8,168,140346,10
2008,12,出口,1029000,其他牛,进出口公司80,科威特,河南其他,深圳海关,一般贸易,公路运输,8,170,142541,10
2006,1,出口,1029000,其他牛,进出口公司81,印度尼西亚,南通其他,拱北海关,一般贸易,公路运输,5,30,15200,10
2007,2,出口,1029000,其他牛,进出口公司82,新加坡,江苏其他,深圳海关,一般贸易,公路运输,7,20,15482,10
2009,3,出口,1029000,其他牛,进出口公司83,阿塞拜疆,镇江,深圳海关,一般贸易,公路运输,5,38,19608,10
2009,4,出口,1029000,其他牛,进出口公司54,越南,上海青浦出口加工区,拱北海关,一般贸易,公路运输,5,40,20639,10
2007,5,出口,1029000,其他牛,进出口公司55,印度尼西亚,山东其他,深圳海关,一般贸易,公路运输,6,323,208339,10
2008,6,出口,1029000,其他牛,进出口公司1,苏丹,河南其他,深圳海关,一般贸易,公路运输,5,39,21450,10
2011,7,出口,1029000,其他牛,进出口公司2,蒙古,保定其他,深圳海关,一般贸易,公路运输,7,30,21537,10
2011,8,出口,1029000,其他牛,进出口公司3,美国,成都其他,深圳海关,一般贸易,公路运输,5,38,22054,10
2006,9,出口,1029000,其他牛,进出口公司4,印度尼西亚,濮阳,深圳海关,一般贸易,公路运输,5,40,23218,10
2010,10,出口,1029000,其他牛,进出口公司5,美国,济南其他,深圳海关,一般贸易,公路运输,5,40,23736,10
2009,11,出口,1029000,其他牛,进出口公司6,美国,成都其他,深圳海关,一般贸易,公路运输,7,338,239789,10
2008,12,出口,1029000,其他牛,进出口公司7,泰国,牡丹江,深圳海关,一般贸易,公路运输,6,39,25158,10
2007,1,出口,1029000,其他牛,进出口公司8,阿联酋,九龙坡区,深圳海关,一般贸易,公路运输,6,40,25804,10
2010,2,出口,1029000,其他牛,进出口公司9,俄罗斯,海淀区其他,深圳海关,一般贸易,公路运输,7,342,262091,10
2008,3,出口,1029000,其他牛,进出口公司10,格鲁吉亚,广汉,深圳海关,一般贸易,公路运输,7,39,27674,10
2011,4,出口,1029000,其他牛,进出口公司11,美国,昆山,深圳海关,一般贸易,公路运输,6,46,29671,10
2012,5,出口,1029000,其他牛,进出口公司49,澳大利亚,牡丹江,深圳海关,一般贸易,公路运输,5,54,31320,10
2012,6,出口,1029000,其他牛,进出口公司48,澳大利亚,烟台其他,拱北海关,一般贸易,公路运输,4,70,31500,10
2007,7,出口,1029000,其他牛,进出口公司49,印度尼西亚,西安其他,深圳海关,一般贸易,公路运输,7,45,31931,10
2008,8,出口,1029000,其他牛,进出口公司24,新加坡,烟台其他,拱北海关,一般贸易,公路运输,4,10,4000,10
2007,9,出口,1029000,其他牛,进出口公司92,美国,盐城,深圳海关,一般贸易,公路运输,6,59,40344,10
2008,10,出口,1029000,其他牛,进出口公司52,科威特,宝鸡其他,拱北海关,一般贸易,公路运输,4,10,4080,10
2011,11,出口,1029000,其他牛,进出口公司17,澳大利亚,海淀区其他,深圳海关,一般贸易,公路运输,5,80,41283,10
2008,12,出口,1029000,其他牛,进出口公司18,埃及,广汉,深圳海关,一般贸易,公路运输,5,70,41535,10
2011,1,出口,1029000,其他牛,进出口公司19,荷兰,西城区,拱北海关,一般贸易,公路运输,4,10,4514,10
2009,2,出口,1029000,其他牛,进出口公司78,德国,即墨,深圳海关,一般贸易,公路运输,6,69,47177,10
2012,3,出口,1029000,其他牛,进出口公司79,赞比亚,合肥其他,拱北海关,一般贸易,公路运输,4,10,4902,10
2009,4,出口,1029000,其他牛,进出口公司80,沙特阿拉伯,西安其他,拱北海关,一般贸易,公路运输,7,70,49669,10
2006,5,出口,1029000,其他牛,进出口公司81,英国,南通其他,深圳海关,一般贸易,公路运输,6,80,51608,10
2008,6,出口,1029000,其他牛,进出口公司10,阿曼,白城,深圳海关,一般贸易,公路运输,4,13,5980,10
2012,7,出口,1029000,其他牛,进出口公司78,澳大利亚,牡丹江,深圳海关,一般贸易,公路运输,6,9,6154,10
2007,8,出口,1029000,其他牛,进出口公司48,新加坡,大连经济技术开发区,深圳海关,一般贸易,公路运输,6,104,62400,10
2007,9,出口,1029000,其他牛,进出口公司49,哈萨克斯坦,天津其他,深圳海关,一般贸易,公路运输,7,81,62695,10
2007,10,出口,1029000,其他牛,进出口公司54,匈牙利,胶州,深圳海关,一般贸易,公路运输,6,104,67064,10
2009,11,出口,1029000,其他牛,进出口公司55,伊拉克,上海浦东新区,深圳海关,一般贸易,公路运输,5,131,76050,10
2011,12,出口,1029000,其他牛,进出口公司56,美国,西安其他,拱北海关,一般贸易,公路运输,4,20,8000,10
2008,1,出口,1029000,其他牛,进出口公司10,新加坡,大连经济技术开发区,拱北海关,一般贸易,公路运输,4,20,8000,10
2007,2,出口,1029000,其他牛,进出口公司11,日本,山西其他,深圳海关,一般贸易,公路运输,6,127,81917,10
2011,3,出口,1029000,其他牛,进出口公司21,巴西,西安新技术产业开发区,深圳海关,一般贸易,公路运输,6,120,83479,10
2012,4,出口,1029000,其他牛,进出口公司22,美国,张家口,拱北海关,一般贸易,公路运输,5,170,87715,10
2007,5,出口,1029000,其他牛,进出口公司23,印度尼西亚,陕西其他,深圳海关,一般贸易,铁路运输,7,140,97975,10
2008,6,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司24,新西兰,东营,深圳海关,一般贸易,公路运输,7,143,10010,10
2007,7,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司25,英国,成都其他,深圳海关,一般贸易,公路运输,6,160,10895,10
2009,8,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司26,肯尼亚,郑州其他,深圳海关,一般贸易,公路运输,5,218,11250,10
2006,9,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司27,美国,荆州,深圳海关,一般贸易,铁路运输,5,219,11301,10
2010,10,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司28,伊拉克,天津经济技术开发区,深圳海关,一般贸易,公路运输,9,142,12780,10
2007,11,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司29,哈萨克斯坦,东营,深圳海关,一般贸易,公路运输,8,160,13000,10
2011,12,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司30,美国,江苏其他,深圳海关,一般贸易,公路运输,5,284,15620,10
2006,1,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司6,伊朗,朝阳区,拱北海关,一般贸易,公路运输,6,36,2160,10
2012,2,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司24,也门,贵阳其他,拱北海关,一般贸易,公路运输,6,50,3000,10
2012,3,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司25,沙特阿拉伯,陕西其他,拱北海关,一般贸易,公路运输,6,50,3000,10
2008,4,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司49,巴布亚新几内亚,衡水,深圳海关,一般贸易,铁路运输,8,3964,321084,10
2009,5,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司16,阿曼,荆州,深圳海关,一般贸易,铁路运输,8,440,35860,10
2008,6,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司10,阿联酋,天津其他,深圳海关,一般贸易,公路运输,5,70,3850,10
2007,7,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司54,德国,株州高新技术产业开发区,深圳海关,一般贸易,公路运输,8,494,43005,10
2010,8,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司22,阿联酋,天津港保税区,深圳海关,一般贸易,公路运输,6,71,4615,10
2012,9,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司44,印度尼西亚,东台,拱北海关,一般贸易,公路运输,5,100,5500,10
2010,10,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司45,泰国,即墨,深圳海关,一般贸易,公路运输,8,71,6229,10
2012,11,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司46,沙特阿拉伯,乌鲁木齐其他,大连海关,一般贸易,水路运输,3,66000,161807,20
2006,12,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司47,印度尼西亚,南汇,大连海关,一般贸易,水路运输,4,65399,197833,20
2007,1,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司48,加拿大,即墨,天津海关,一般贸易,水路运输,3,86269,250180,20
2007,2,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司49,巴西,烟台其他,大连海关,一般贸易,水路运输,3,11000,28117,20
2010,3,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司50,法国,西安其他,长春海关,一般贸易,水路运输,3,112975,295195,20
2008,4,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司51,美国,中关村国家自主创新示范区（昌平园）,长春海关,一般贸易,水路运输,3,150872,412193,20
2010,5,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司52,澳大利亚,南通其他,大连海关,一般贸易,水路运输,3,15411,45848,20
2012,6,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司53,尼日利亚,南通经济技术开发区,大连海关,一般贸易,水路运输,3,22000,54750,20
2009,7,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司54,沙特阿拉伯,南通其他,大连海关,一般贸易,水路运输,3,22000,55450,20
2009,8,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司55,格鲁吉亚,濮阳,大连海关,一般贸易,水路运输,3,22993,56042,20
2012,9,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司56,伊朗,陕西西安出口加工区,大连海关,一般贸易,水路运输,3,23000,57846,20
2010,10,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司57,伊朗,江苏其他,大连海关,一般贸易,水路运输,3,23000,58200,20
2006,11,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司58,印度,嘉定,长春海关,一般贸易,水路运输,3,21895,58783,20
2008,12,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司59,阿塞拜疆,泉州,青岛海关,一般贸易,水路运输,3,24000,59096,20
2007,1,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司60,阿根廷,上海其他,大连海关,一般贸易,水路运输,3,22000,59475,20
2010,2,出口,2013000,鲜或冷藏的去骨牛肉,进出口公司61,意大利,济源,天津海关,一般贸易,水路运输,3,22193,64360,20
2006,3,出口,2023000,冻藏的去骨牛肉,进出口公司62,津巴布韦,合肥其他,长春海关,一般贸易,水路运输,3,50000,106723,20
2007,4,出口,2023000,冻藏的去骨牛肉,进出口公司63,印度,青岛其他,深圳海关,一般贸易,公路运输,3,73000,156512,20
2011,5,出口,2023000,冻藏的去骨牛肉,进出口公司64,美国,盐城,深圳海关,一般贸易,公路运输,2,9000,16831,20
2011,6,出口,2023000,冻藏的去骨牛肉,进出口公司65,苏丹,上海浦东新区,深圳海关,一般贸易,公路运输,2,109000,182807,20
2010,7,出口,2023000,冻藏的去骨牛肉,进出口公司66,澳大利亚,江苏其他,深圳海关,一般贸易,公路运输,2,24000,33284,20
